0,1,2,3,4
Advanced Heuristics,Algoritmen en complexiteit,,,
Algoritmen en complexiteit,Analysemethoden en -technieken,Data Mining,,
Analysemethoden en -technieken,Collectieve Intelligentie,Zoeken sturen en bewegen,,
Architectuur en computerorganisatie,Bioinformatica,Interactie-ontwerp,Lineaire Algebra,Moderne Databases
Autonomous Agents 2,Compilerbouw,,,
Bioinformatica,Compilerbouw,,,
Calculus 2,Heuristieken 2,Project Genetic Algorithms,Project Numerical Recipes,
Collectieve Intelligentie,Data Mining,Project Genetic Algorithms,Project Numerical Recipes,
Compilerbouw,Compilerbouw practicum,Programmeren in Java 2,,
Compilerbouw practicum,Zoeken sturen en bewegen,,,
Data Mining,Reflectie op de digitale cultuur,,,
Databases 2,Kansrekenen 2,Machine Learning,Netwerken en systeembeveiliging,
Heuristieken 1,Technology for games,,,
Informatie- en organisatieontwerp,Kansrekenen 2,Machine Learning,Netwerken en systeembeveiliging,Reflectie op de digitale cultuur
Kansrekenen 2,Zoeken sturen en bewegen,,,
Lineaire Algebra,Software engineering,,,
Netwerken en systeembeveiliging,Zoeken sturen en bewegen,,,
Programmeren in Java 2,Webprogrammeren en databases,,,
Project Genetic Algorithms,Webprogrammeren en databases,,,
Project Numerical Recipes,Technology for games,,,
Reflectie op de digitale cultuur,Software engineering,,,
