"sep=,"
Maandag
C0.110,A1.04,A1.06,A1.08,A1.10,B0.201,C1.112
Software Engineering_lec,Informatie- en organisatieontwerp_lec,Zoeken sturen en bewegen_prac,Project Numerical Recipes_prac,Webprogrammeren en databases_lec,Data Mining_lec,Compilerbouw_lec
Kansrekenen 2_lec,Netwerken en systeembeveiliging_prac,Programmeren in Java 2_prac,Compilerbouw (practicum)_prac,Reflectie op de digitale cultuur_lec,Autonomous Agents 2_lec,Moderne Databases_lec
Collectieve Intelligentie_lec,Software Engineering_tut,Compilerbouw (practicum)_prac,Autonomous Agents 2_lec,Software Engineering_prac,Bioinformatica_lec,Collectieve Intelligentie_lec
Compilerbouw_lec,Compilerbouw_prac,Webprogrammeren en databases_prac,Reflectie op de digitale cultuur_tut,Reflectie op de digitale cultuur_lec,Webprogrammeren en databases_lec,Algoritmen en complexiteit_lec
""

Dinsdag
C0.110,A1.04,A1.06,A1.08,A1.10,B0.201,C1.112
Collectieve Intelligentie_lec,Algoritmen en complexiteit_tut,Collectieve Intelligentie_prac,Netwerken en systeembeveiliging_prac,Technology for games_lec,Machine Learning_lec,Lineaire Algebra_lec
Calculus 2_lec,Data Mining_lec,Data Mining_prac,Autonomous Agents 2_prac,Calculus 2_tut,Bioinformatica_lec,Interactie-ontwerp_lec
Databases 2_lec,Heuristieken 1_tut,Webprogrammeren en databases_prac,Collectieve Intelligentie_tut,Databases 2_tut,Heuristieken 1_lec,Collectieve Intelligentie_prac
Technology for games_tut,Algoritmen en complexiteit_prac,Project Genetic Algorithms_prac,Technology for games_tut,Technology for games_lec,Databases 2_tut,Algoritmen en complexiteit_prac
""

Woensdag
C0.110,A1.04,A1.06,A1.08,A1.10,B0.201,C1.112
Kansrekenen 2_lec,Compilerbouw_prac,Advanced Heuristics_lec,Heuristieken 2_tut,Software Engineering_tut,Heuristieken 2_lec,Analysemethoden en -technieken_lec
Bioinformatica_tut,Moderne Databases_tut,Advanced Heuristics_prac,Reflectie op de digitale cultuur_tut,Collectieve Intelligentie_tut,Bioinformatica_lec,Bioinformatica_prac
Informatie- en organisatieontwerp_prac,Compilerbouw_tut,Informatie- en organisatieontwerp_prac,Collectieve Intelligentie_prac,Calculus 2_tut,Informatie- en organisatieontwerp_lec,Architectuur en computerorganisatie_lec
Informatie- en organisatieontwerp_prac,Programmeren in Java 2_prac,Moderne Databases_prac,Project Numerical Recipes_prac,Lineaire Algebra_lec,Data Mining_prac,Advanced Heuristics_prac
""

Donderdag
C0.110,A1.04,A1.06,A1.08,A1.10,B0.201,C1.112
Data Mining_tut,Machine Learning_lec,Data Mining_tut,Moderne Databases_tut,Autonomous Agents 2_tut,Zoeken sturen en bewegen_prac,Project Genetic Algorithms_prac
Collectieve Intelligentie_tut,Bioinformatica_tut,Programmeren in Java 2_prac,Heuristieken 2_tut,Programmeren in Java 2_prac,Algoritmen en complexiteit_tut,Collectieve Intelligentie_prac
Software Engineering_prac,Webprogrammeren en databases_tut,Advanced Heuristics_prac,Autonomous Agents 2_prac,Interactie-ontwerp_lec,Moderne Databases_prac,Zoeken sturen en bewegen_prac
Compilerbouw (practicum)_prac,Data Mining_prac,Architectuur en computerorganisatie_lec,Project Numerical Recipes_prac,Project Genetic Algorithms_prac,Programmeren in Java 2_prac,Informatie- en organisatieontwerp_tut
""

Vrijdag
C0.110,A1.04,A1.06,A1.08,A1.10,B0.201,C1.112
Collectieve Intelligentie_tut,Moderne Databases_tut,Informatie- en organisatieontwerp_tut,Moderne Databases_prac,Informatie- en organisatieontwerp_tut,Webprogrammeren en databases_tut,Bioinformatica_prac
Technology for games_tut,Autonomous Agents 2_tut,Data Mining_tut,,,,
Reflectie op de digitale cultuur_tut,Compilerbouw_tut,,,,,Heuristieken 1_tut
Netwerken en systeembeveiliging_prac,,,,,,
""
